c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,y
32596,225574,309116,197352,408590,741331,348152,591350,59862,797025,417548,841331,1
360820,805547,753047,940827,102706,256884,2338,154378,634322,714854,400098,570905,0
952197,826675,763289,775115,313552,548646,664752,955239,917461,29140,4201,401142,0
229994,894705,194754,174700,722722,78910,596206,540690,520250,505998,712069,684403,1
271094,501638,100726,11688,300084,859469,250452,865985,203304,515907,771009,236176,0
956457,743617,609326,731529,411940,365166,129842,266610,938331,960132,757055,425579,1
104722,170142,223256,768211,577098,144710,348190,653506,649282,845960,495547,610392,1
182894,381040,727550,821687,903355,830761,687662,126784,733749,665593,684793,541897,0
662786,844079,440124,216082,276610,23616,47236,835673,118115,298464,798807,907857,0
178654,169566,680470,353348,40358,48766,591806,221978,471489,519426,295726,403347,1
105264,116082,762081,34758,295110,32464,332420,909145,159677,576460,778568,681660,1
960067,775265,534958,722994,942179,61024,585456,335248,238011,854861,156487,388411,0
733013,902725,793403,454002,194440,919007,547998,168060,827918,858356,409450,891699,1
759263,594476,7986,397006,19648,902589,168874,911785,875938,86509,506638,707257,0
142168,266432,183264,105792,757229,407700,397266,557758,30467,960958,463931,774015,0
348480,426552,915613,407242,578848,333884,744651,262612,733346,617485,836950,690353,0
618062,972271,236932,54032,345812,34146,102796,900256,155856,127840,529158,340844,0
541128,764059,416896,383254,655096,388572,745989,827012,346734,903011,982671,332779,1
514540,547034,945837,556280,613020,334672,934013,976486,567468,966055,651287,426224,1
168750,353634,38938,697244,375402,996433,808739,254799,198818,774331,885592,852606,0
868733,624318,948547,496332,620832,553462,348762,17365,654904,444679,542454,368292,1
657050,679974,297262,497394,597848,422044,56892,470253,471568,925712,13342,955236,0
224028,139968,674128,558048,508988,273264,497408,961104,824727,406565,165269,985267,0
606806,460228,319568,908957,790793,142800,2608,562503,852507,475111,35733,288847,0
162864,497242,466890,351148,703160,920393,395526,584575,573307,224280,279802,278620,1
643332,377452,41810,863469,566996,167618,63166,404147,263745,580178,376260,989024,0
552522,835387,151954,410682,239854,856649,974379,276221,119003,115806,202877,948233,0
661396,93402,704810,79158,810041,598766,41440,744666,896852,990445,343377,178711,0
393414,397122,10900,161102,980371,168636,840333,480039,165873,92907,622324,833883,0
16982,249354,361716,995989,972077,38646,298400,28219,724627,886164,927729,362601,0
294542,694860,668706,843069,992059,77692,830459,22177,454453,711781,507017,507852,0
700706,344780,129784,332684,241704,704528,496238,963146,775684,645627,858590,573223,0
842231,276182,762975,555952,281800,158882,679993,62626,907491,730278,878057,694054,0
58886,516216,170156,698416,277348,83300,11071,637790,805885,146810,853843,843298,1
235970,355552,227350,294178,446078,287592,201421,882661,414448,574752,859442,43618,1
941889,669620,28728,843263,612170,638070,715729,955289,470484,206452,224697,286957,0
101036,542660,333286,896713,15666,360924,799938,503452,963901,504791,865227,337216,1
816041,737699,877051,468426,353442,848959,26573,519006,169930,523489,464072,791286,0
218912,28416,230864,717596,420106,405908,278619,614310,805847,77451,712633,157500,0
795827,641490,369946,315042,41838,613936,957396,625122,178796,472199,461437,822438,0
416924,52404,628880,556332,148754,669108,778120,493358,517607,79698,602852,98840,1
271154,707374,474802,451866,995091,110000,575559,257012,948496,791009,314624,170931,0
400542,365382,743401,817335,522344,698052,505087,882587,96273,703430,327809,266938,0
912769,811961,378872,25060,194850,669866,360125,833759,706445,304062,394875,924408,0
867685,148128,795241,503368,248654,791281,738088,152242,507897,666721,692124,672286,0
675008,506124,165628,548708,821967,353458,413919,701664,981746,466709,775717,113665,0
286808,55892,248314,976389,71482,191670,370925,700474,502843,788910,944446,818495,0
448512,843173,923709,464462,954747,766711,648529,773997,83881,383079,152987,253691,0
354326,381736,801611,530614,196588,356794,378305,172125,380458,453826,473748,306776,1
332004,233602,42138,25544,146206,21218,137049,319925,90966,48370,601746,18657,0
261372,13236,521092,401860,287042,326544,173177,68777,968259,304262,128669,141472,0
888193,442480,879541,451216,533696,448012,518801,91005,939915,998271,99065,98815,0
704244,567886,689964,776257,50726,430610,188643,819794,776483,560637,112260,531094,0
337688,168546,58968,144808,257900,381324,719847,415417,382222,264653,917547,856556,0
399034,942185,767463,17828,46752,886679,581517,43791,598732,652711,673681,548422,0
698824,290458,162852,687222,894671,586910,503581,16491,999967,354721,203403,365553,0
417842,244960,952233,515962,765857,186026,761562,828090,849984,767359,528052,180600,0
956433,272586,105510,56870,468546,448854,282611,120725,893792,30380,612378,340163,0
749687,925915,225190,783201,565138,767349,973478,87941,543157,451710,600457,58388,0
209538,526986,387166,275498,326454,482418,154275,21569,411083,567430,84849,274603,0
435234,466608,741909,645878,455258,870789,64501,789478,9261,708203,366774,364902,0
627044,639818,741029,720042,137340,775155,350245,751474,544843,893870,88292,882482,0
708330,510750,423242,109242,561502,45240,471347,467241,65811,41067,365637,522592,0
522988,600730,147752,984429,746495,82038,869058,50793,730965,676623,322457,657483,0
254900,684674,320092,413936,926943,774516,433294,741463,579726,541114,911009,11054,0
236186,22854,839515,413178,91874,150041,408676,946987,898091,940313,880931,685969,1
219878,57270,728796,589254,176596,412947,240474,343660,522164,829515,142727,862387,1
595010,386868,581960,463734,829885,450343,662162,193168,831371,423244,847446,235717,0
